Population,Location,GPS lat,GPS lon,Plant date,Harvest date
P1-T1,AT2,40.1858,-86.0777,5/5/15,9/10/15
P1-T1,MO,40.915219,-90.719045,5/18/15,9/10/15
P1-T1,EP,40.770247,-88.984181,5/2/15,9/10/15
P2-T2,MO,40.915219,-90.719045,5/18/15,9/10/15
P2-T2,BL,40.602948,-88.795866,5/19/15,9/10/15
P2-T3,MO,40.915219,-90.719045,5/18/15,9/10/15
P2-T3,BL,40.602948,-88.795866,5/19/15,9/10/15
P1-T4,AT2,40.1858,-86.0777,5/5/15,9/10/15
P1-T4,MO,40.915219,-90.719045,5/18/15,9/10/15
P1-T4,EP,40.770247,-88.984181,5/2/15,9/10/15
P1-T5,CP,39.934535,-87.907621,5/7/15,9/10/15
P1-T5,JV,39.725399,-90.035054,4/29/15,9/10/15
P3-T2,JV,39.725399,-90.035054,4/29/15,9/10/15
P3-T2,HV,39.378584,-89.517726,5/15/15,9/10/15
P3-T3,JV,39.725399,-90.035054,4/29/15,9/10/15
P3-T3,HV,39.378584,-89.517726,5/15/15,9/10/15
P1-T1,EK,40.04918839,-89.45188979,4/25/16,9/10/16
P1-T1,ON,40.64674,-87.946937,4/25/16,9/10/16
P1-T1,AT2,40.1858,-86.0777,5/1/16,9/10/16
P2-T2,ON,40.64674,-87.946937,4/25/16,9/10/16
P2-T2,MB,40.54497947,-90.79105674,5/6/16,9/10/16
P2-T2,MO2,41.014267,-90.786585,5/5/16,9/10/16
P2-T3,ON,40.64674,-87.946937,4/25/16,9/10/16
P1-T4,MB,40.54497947,-90.79105674,5/6/16,9/10/16
P1-T5,EK,40.04918839,-89.45188979,4/25/16,9/10/16
P1-T5,ON,40.64674,-87.946937,4/25/16,9/10/16
P3-T2,ON,40.64674,-87.946937,4/25/16,9/10/16
P3-T3,MB,40.54497947,-90.79105674,5/6/16,9/10/16